"opportunity_number","nofo_type","opportunity_title","summary.post_date","summary.close_date","opportunity_status","all_concepts","hd_involvement","run_date"
"<a href = ""https://simpler.grants.gov/opportunity/3ff33fa1-de68-4575-bddc-e5f81377a2a8"" target = ""_blank"">NOT-HD-25-012</a>","UNK","Infrastructure for Population Dynamics Research Program (iPOP)",2025-05-14,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/50d300a2-0377-4080-8f75-bb859772abfc"" target = ""_blank"">RFA-HD-26-012</a>","RFA","Notice of Intent to Publish a Funding Opportunity Announcement for Intellectual and Developmental Disabilities Research Centers 2025 (P50 Clinical Trial Optional)",2025-05-12,NA,"Forecasted","Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/e9b3d943-9e83-48a7-911f-21e77eb9c9fb"" target = ""_blank"">PAR-25-378</a>","PAR","Intervention Research to Improve Native American Health (R34 Clinical Trial Optional)",2025-01-22,2027-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/818e5c60-39e1-4009-9d8e-698d365b5ad1"" target = ""_blank"">PAR-25-379</a>","PAR","Intervention Research to Improve Native American Health (R01 Clinical Trial Optional)",2025-01-22,2027-01-07,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/fd135574-7ecb-4710-8f7e-83a32df52d78"" target = ""_blank"">PAR-25-369</a>","PAR","Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)",2025-01-13,2026-11-18,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/83a0f6eb-7ed1-4d8f-8f83-a18249f16157"" target = ""_blank"">PAR-25-370</a>","PAR","Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)",2025-01-13,2026-11-16,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/3fad2356-0302-47cc-83e0-8966c6eebb3e"" target = ""_blank"">PAR-25-371</a>","PAR","Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)",2025-01-13,2026-11-18,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/94e47d25-a7fe-47a7-9e57-d9641334b81f"" target = ""_blank"">RFA-AT-25-003</a>","RFA","HEAL Initiative: Pain Research Enhancement Program (PREP) (R15 Clinical Trial Optional)",2025-01-08,2026-11-23,"Posted","Unclassified","HD Secondary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/91646887-7c4c-414b-9b0e-6d550296ece1"" target = ""_blank"">PAR-25-362</a>","PAR","Early Immune System Development and Ontogeny (R01 Clinical Trial Optional)",2024-12-30,2028-11-05,"Posted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/7b85616a-e7b4-4c39-a71a-5269c238a9f6"" target = ""_blank"">PAR-25-311</a>","PAR","Leveraging Network Infrastructure to Conduct Innovative Research for Women, Children, Pregnant and Lactating Women, and Persons with Disabilities (UG3/UH3 - Clinical Trial Optional)",2024-12-16,2027-11-15,"Posted","Pregnancy & Lactation;Pediatrics","HD Primary","2026-03-25"
"<a href = ""https://simpler.grants.gov/opportunity/c90e3d6c-c37f-4333-bedf-50718a2eee7a"" target = ""_blank"">PAR-25-154</a>","PAR","HEAL Initiative-Early-Stage Discovery of New Pain Targets Within the Understudied Druggable Proteome (R03 Clinical Trial Not Allowed)",2024-12-11,2026-07-16,"Posted","Unclassified","HD Secondary","2026-03-25"
